Actor1CountryCode,Actor2CountryCode,Strength
ISR,PSE,-7.558858808
USA,CHN,4.671059679
GBR,USA,3.43645741
USA,GBR,3.761095152
USA,IRN,3.098378432
CHN,USA,4.543376807
PSE,ISR,-7.299742679
USA,RUS,2.161364962
USA,ISR,2.363372942
IRN,USA,2.449372989
USA,FRA,2.909320313
RUS,UKR,-0.761441717
USA,SYR,1.449170205
RUS,USA,2.886121518
FRA,USA,2.959980904
RUS,SYR,-1.854254223
USA,CAN,3.581925666
CAN,USA,3.598122933
ISR,USA,2.163559399
UKR,RUS,-0.637624444
USA,CUB,6.646264923
USA,IRQ,0.519977118
CUB,USA,6.393397321
USA,JPN,3.635405795
USA,MEX,1.834063628
JPN,USA,3.83081534
TUR,SYR,-3.631186856
MEX,USA,1.324323141
DEU,USA,3.972855486
PAK,AFG,1.36024325
USA,DEU,4.637808288
AUS,USA,3.25512866
IRQ,USA,-0.979818681
SYR,USA,1.807014569
ZAF,AFR,-0.60850813
AFG,PAK,0.615658591
USA,AFR,1.387251839
TUR,RUS,-3.278872595
USA,AFG,1.295430823
USA,AUS,3.858420766
AFR,USA,0.931739096
SYR,RUS,1.10298826
RUS,TUR,-1.880050877
USA,EUR,5.055572693
GBR,FRA,5.220597736
FRA,GBR,5.29843808
DEU,FRA,7.634475876
FRA,DEU,7.48383715
SYR,TUR,-0.841512527
CHN,JPN,3.876367574
RUS,IRN,7.689742479
SAU,YEM,-8.368738574
AFR,ZAF,1.85741167
ISR,IRN,-1.598707735
EUR,USA,4.581346378
JPN,CHN,4.190420151
USA,TUR,3.026184763
RUS,CHN,8.490337034
AFG,USA,-1.661107392
USA,PAK,2.659248909
USA,SAU,3.602878958
CHN,RUS,8.594180026
USA,ITA,4.106709034
ITA,USA,3.669945197
FRA,RUS,7.491621622
TUR,USA,2.84064416
GBR,CHN,8.248738063
IRN,RUS,8.259627045
SAU,USA,2.033625887
GBR,SYR,0.67692926
IRN,SYR,3.544738987
IRN,ISR,-0.309105795
CHN,GBR,7.962195561
RUS,FRA,7.663844861
DEU,RUS,6.651434081
IRQ,SYR,-3.559280517
SYR,IRQ,-3.373410733
PAK,USA,2.13651834
IRL,GBR,3.245480483
GBR,EUR,5.166227265
GBR,IRL,3.542316523
USA,VNM,3.64870697
USA,UKR,4.227000902
YEM,SAU,-5.755767548
GBR,DEU,6.122836538
GBR,RUS,3.271051329
RUS,DEU,7.570620117
IRN,SAU,-1.033506625
DEU,GBR,6.384447426
GRC,EUR,5.291165256
VNM,USA,2.339266072
IRN,IRQ,1.658202568
IRL,USA,3.361109783
DEU,GRC,4.180773829
USA,ESP,3.720769525
KOR,JPN,5.831347225
ESP,USA,2.493847064
CHN,PAK,8.217451496
USA,IRL,3.185255932
LBN,SYR,-2.796705812
KOR,PRK,0.533765065
EUR,GRC,5.662448959
SAU,IRN,-0.780155701
EUR,RUS,0.778993154
USA,EGY,2.864299701
RUS,GBR,4.433821248
DEU,EUR,3.894487488
JOR,USA,0.006902711
PRK,KOR,-1.079302474
GRC,USA,2.708827279
AUS,GBR,4.148946542
PAK,CHN,8.412863504
CHN,TWN,5.134561907
USA,GRC,3.557819225
GBR,AUS,4.385873007
AUS,IDN,0.961308589
RUS,EUR,3.545578575
JPN,KOR,6.934443944
IRQ,IRN,0.88917255
EGY,USA,1.710397779
TWN,CHN,5.863553856
FRA,SYR,-3.145674642
IDN,AUS,-1.440583357
TUR,IRQ,-1.756356079
IND,PAK,-0.26505864
CAN,GBR,3.713209189
AUS,NZL,4.126145271
SYR,IRN,-0.076209044
USA,KOR,4.618567269
USA,NGA,3.974501341
ISR,SYR,-8.231246718
KOR,USA,4.782363285
EUR,GBR,5.583233533
USA,PHL,4.282928137
PHL,USA,3.778347167
GBR,CAN,4.015060684
SYR,LBN,-2.587259021
USA,JOR,1.249428518
SYR,GBR,0.572527128
FRA,EUR,2.298693852
NGA,USA,3.516404582
NZL,AUS,4.628249174
AUS,CHN,7.042118628
PAK,IND,0.335829681
CHN,KOR,6.858788278
KOR,CHN,7.327598114
PHL,CHN,-0.03432377
GRC,DEU,4.915039799
RUS,EGY,2.188560964
IRQ,TUR,-0.187620269
NMR,USA,5.921380798
CHN,FRA,8.883364526
UKR,USA,2.418909302
FRA,IRN,8.157619359
TUR,ARM,-3.034726969
USA,PSE,0.854832836
FRA,CHN,9.064015817
EUR,DEU,5.411376311
GBR,IRN,6.566350282
CHN,AUS,7.443578709
CHE,USA,4.48899145
USA,YEM,-2.092911239
IND,USA,3.999242772
DEU,UKR,8.134444531
CAN,SYR,7.622497868
USA,IND,4.791369444
EGY,ISR,2.05158831
USA,MDV,-4.638666134
USA,LBY,-3.703611089
EUR,FRA,3.073039725
USA,CHE,5.361614029
IRN,YEM,1.527160697
EGY,RUS,4.420314041
USA,NMR,6.544854772
MYS,CHN,5.111527859
CHN,PHL,0.703060712
IRN,FRA,7.801155489
USA,NLD,4.426795247
DEU,IRN,8.790391428
NLD,USA,3.605558923
PAK,SAU,4.724100184
NGA,AFR,1.728153173
CHN,IRN,9.338407557
BEL,FRA,-5.248609987
ISR,EGY,2.651059036
SYR,ISR,-7.294176252
USA,KEN,3.743070615
SAU,SYR,2.938998525
EUR,UKR,5.099243768
USA,PRK,-0.150154654
TUR,IRN,0.26356092
JOR,SYR,2.152799547
LBY,USA,-4.639429816
CHN,MYS,4.697839536
SYR,FRA,-0.404632466
RUS,BLR,6.434662045
USA,POL,-0.24581485
IRN,GBR,7.687103348
